,Tamaño_muestra_casillas,Error_maximo_q_025,Error_maximo_mediana,Error_maximo_q_975,Intervalo_M_grande_candidato_nom,Intervalo_M_grande_candidato_cob,Intervalo_M_grande_inter_q_025,Intervalo_M_grande_inter_mediana,Intervalo_M_grande_inter_q_975,Cobertura_m_candidato_nom,Cobertura_m_candidato,Cobertura_m_inter_q_025,Cobertura_m_inter_mediana,Cobertura_m_inter_q_975,Cob_JOAQUIN_DIAZ_MENA,Cob_RENAN_BARRERA_CONCHA,Cob_VIDA_ARAVARI_GOMEZ_HERRERA,Cob_VOTOS_NULOS_CAND_NO_REGIS,Cob_YAMIL_JASMIN_LOPEZ_MANRIQUE,Estratificación
0,100.0,0.0020816477283375464,0.011725651982185004,0.03281772760797386,JOAQUIN_DIAZ_MENA,0.948,0.04390614906917675,0.054278668189540386,0.06621218305965344,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.73,0.001281341190059631,0.003450051007723713,0.011382114642291316,0.948,0.941,0.917,0.928,0.73,Sin estratificar (casillas)
1,150.0,0.0014809187979399514,0.009101634839280948,0.027687033567866448,JOAQUIN_DIAZ_MENA,0.945,0.03744348488305165,0.044915367423781966,0.05265518111876086,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.809,0.001185537100497287,0.003372810113704755,0.008262123920899615,0.945,0.95,0.936,0.941,0.809,Sin estratificar (casillas)
2,200.0,0.0014699661684826977,0.007852166745819622,0.022879704146972137,JOAQUIN_DIAZ_MENA,0.955,0.034173955337083034,0.03949655720565981,0.04492857579797246,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.826,0.0010833084065319698,0.0029887811099335022,0.0065312428977117335,0.955,0.961,0.946,0.941,0.826,Sin estratificar (casillas)
3,250.0,0.0014436794722286043,0.006472455851228964,0.02007187842438044,JOAQUIN_DIAZ_MENA,0.963,0.031202568532371595,0.035485533628615534,0.040258101249809615,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.864,0.001044012734000474,0.0029008359416619963,0.00574862295343435,0.963,0.956,0.946,0.941,0.864,Sin estratificar (casillas)
4,300.0,0.0011809817502456477,0.005937907368505316,0.01855475635536228,JOAQUIN_DIAZ_MENA,0.963,0.02904051823864126,0.03259736418084522,0.03672244946594702,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.88,0.000993300875956886,0.0026909221139977913,0.005167732057570159,0.963,0.966,0.952,0.937,0.88,Sin estratificar (casillas)
5,350.0,0.001161445642698078,0.005860386337870588,0.01653654166153489,JOAQUIN_DIAZ_MENA,0.964,0.02740461499200734,0.03067165049129042,0.0338885609046995,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.909,0.0010277081953182071,0.0025515750957677084,0.004639562394308201,0.964,0.971,0.943,0.954,0.909,Sin estratificar (casillas)
6,400.0,0.0010710048851231997,0.0053573815405249525,0.01659896349242691,JOAQUIN_DIAZ_MENA,0.964,0.02581717615013078,0.028835240163261472,0.03196033435114606,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.929,0.0010450276581803499,0.0024287737656018527,0.004209840750971665,0.964,0.962,0.96,0.951,0.929,Sin estratificar (casillas)
