,Tamaño_muestra_casillas,Tamaño_submuestra_votos,Error_maximo_q_025,Error_maximo_mediana,Error_maximo_q_975,Intervalo_M_grande_candidato_nom,Intervalo_M_grande_candidato_cob,Intervalo_M_grande_inter_q_025,Intervalo_M_grande_inter_mediana,Intervalo_M_grande_inter_q_975,Cobertura_m_candidato_nom,Cobertura_m_candidato,Cobertura_m_inter_q_025,Cobertura_m_inter_mediana,Cobertura_m_inter_q_975,Cob_JOAQUIN_DIAZ_MENA,Cob_RENAN_BARRERA_CONCHA,Cob_VIDA_ARAVARI_GOMEZ_HERRERA,Cob_VOTOS_NULOS_CAND_NO_REGIS,Cob_YAMIL_JASMIN_LOPEZ_MANRIQUE
15,200,5000,0.001400289117893168,0.007497382061479985,0.02265903781630891,JOAQUIN_DIAZ_MENA,0.959,0.03627586245094193,0.03845145921045831,0.040629840683609746,RENAN_BARRERA_CONCHA,0.948,0.035844339533620484,0.03797209870789289,0.04023574831768423,0.959,0.948,0.993,1.0,0.998
16,200,10000,0.0015596049132400069,0.007435313820302769,0.022836163675928747,JOAQUIN_DIAZ_MENA,0.856,0.025274163006366524,0.026765744350364717,0.028265014170756428,RENAN_BARRERA_CONCHA,0.827,0.02493222017269121,0.02646149771848358,0.028019957319519777,0.856,0.827,0.94,0.999,0.978
17,200,20000,0.0014630563786045298,0.007686325753441581,0.0226591109881208,JOAQUIN_DIAZ_MENA,0.671,0.01734983418902158,0.018375879107939863,0.019523523701759287,RENAN_BARRERA_CONCHA,0.659,0.017068138609198074,0.018200508817952155,0.019372150668700506,0.671,0.659,0.8,0.973,0.878
18,250,500,0.0012397446227844445,0.007110225427440442,0.02041534232592445,JOAQUIN_DIAZ_MENA,1.0,0.11666041396742616,0.12286298101184287,0.13040620048543244,JOAQUIN_DIAZ_MENA,1.0,0.11666041396742616,0.12286298101184287,0.13040620048543244,1.0,1.0,1.0,1.0,1.0
19,250,1000,0.0013250655818010306,0.00683729436197536,0.02077634620134289,JOAQUIN_DIAZ_MENA,1.0,0.08174411384360643,0.08699471037747378,0.09207419369462883,JOAQUIN_DIAZ_MENA,1.0,0.08174411384360643,0.08699471037747378,0.09207419369462883,1.0,1.0,1.0,1.0,1.0
20,250,2000,0.0013416540850258662,0.007106105897479759,0.01918884227299846,JOAQUIN_DIAZ_MENA,1.0,0.05789407185238127,0.061188979385529085,0.06511003208728598,RENAN_BARRERA_CONCHA,0.999,0.057145542878641056,0.06058679403663064,0.06412716869190054,1.0,0.999,1.0,1.0,1.0
21,250,5000,0.00136204128637979,0.007061270264305225,0.02091333378326412,JOAQUIN_DIAZ_MENA,0.975,0.036668296296812945,0.03857337120407117,0.0409181011104392,RENAN_BARRERA_CONCHA,0.965,0.0360041113245431,0.038070266274010084,0.040265107815085965,0.975,0.965,0.997,1.0,1.0
22,250,10000,0.001357416097552698,0.0070639694364599825,0.020289818533084734,JOAQUIN_DIAZ_MENA,0.877,0.025451676448892162,0.026918221524944025,0.028519522637516607,RENAN_BARRERA_CONCHA,0.861,0.02506892294456342,0.026560721732130838,0.02817311605660747,0.877,0.861,0.965,1.0,0.993
23,250,20000,0.0012838785081237766,0.006911822529943823,0.020191615724698485,JOAQUIN_DIAZ_MENA,0.724,0.017550395111376252,0.018672761377427072,0.019713968882594392,RENAN_BARRERA_CONCHA,0.71,0.017318242305164377,0.018423357706159077,0.019534550244644476,0.724,0.71,0.872,0.985,0.938
24,300,500,0.0010897975272153289,0.006645966585898083,0.018742228382211328,JOAQUIN_DIAZ_MENA,1.0,0.11610892425332749,0.12303725382721195,0.13014315120451425,JOAQUIN_DIAZ_MENA,1.0,0.11610892425332749,0.12303725382721195,0.13014315120451425,1.0,1.0,1.0,1.0,1.0
25,300,1000,0.0011209162456602168,0.006452371652907629,0.018219756676543457,JOAQUIN_DIAZ_MENA,1.0,0.08174499438749426,0.086957416753986,0.09226651278773311,JOAQUIN_DIAZ_MENA,1.0,0.08174499438749426,0.086957416753986,0.09226651278773311,1.0,1.0,1.0,1.0,1.0
26,300,2000,0.0011159189001129644,0.0061913002879283585,0.01758642860835296,JOAQUIN_DIAZ_MENA,1.0,0.05792973516193805,0.0613842580702334,0.06517460821181806,JOAQUIN_DIAZ_MENA,1.0,0.05792973516193805,0.0613842580702334,0.06517460821181806,1.0,1.0,1.0,1.0,1.0
27,300,5000,0.001276397054419184,0.0065671125217135196,0.01838494369442417,JOAQUIN_DIAZ_MENA,0.987,0.0364655306812876,0.03864013253390683,0.04104362297500547,RENAN_BARRERA_CONCHA,0.98,0.03593028820709159,0.03820355302792225,0.0404145843709768,0.987,0.98,0.999,1.0,1.0
28,300,10000,0.0011825143574296193,0.006348903797220945,0.018875949654018884,JOAQUIN_DIAZ_MENA,0.905,0.025666644546228037,0.027064811312317083,0.02861970309516554,RENAN_BARRERA_CONCHA,0.895,0.02525940710113256,0.026730317459405767,0.028271820564746083,0.905,0.895,0.981,1.0,0.998
29,300,20000,0.001126156471571954,0.006087045942954228,0.018293194180389282,JOAQUIN_DIAZ_MENA,0.797,0.01771034126742523,0.01879540160186166,0.02001920529298675,RENAN_BARRERA_CONCHA,0.748,0.01759492745179931,0.01859922032120928,0.01969576772759984,0.797,0.748,0.899,0.989,0.962
30,350,500,0.001156580662948281,0.0058322714155247535,0.016400543055057143,JOAQUIN_DIAZ_MENA,1.0,0.11633170544683835,0.12326381566693226,0.13042241849353448,JOAQUIN_DIAZ_MENA,1.0,0.11633170544683835,0.12326381566693226,0.13042241849353448,1.0,1.0,1.0,1.0,1.0
31,350,1000,0.0011167266824597566,0.005742696973103839,0.01667779544221912,JOAQUIN_DIAZ_MENA,1.0,0.0818299194351062,0.08694485220811898,0.09203605029756941,JOAQUIN_DIAZ_MENA,1.0,0.0818299194351062,0.08694485220811898,0.09203605029756941,1.0,1.0,1.0,1.0,1.0
32,350,2000,0.0010166010164871593,0.005827969725290788,0.01643919725988269,JOAQUIN_DIAZ_MENA,1.0,0.05791073808142566,0.06147917423958335,0.06521430961256476,JOAQUIN_DIAZ_MENA,1.0,0.05791073808142566,0.06147917423958335,0.06521430961256476,1.0,1.0,1.0,1.0,1.0
33,350,5000,0.0010591918525125266,0.005658708779058441,0.016735436532324934,JOAQUIN_DIAZ_MENA,0.993,0.036641249701527975,0.03874023862995782,0.04102407459299073,JOAQUIN_DIAZ_MENA,0.993,0.036641249701527975,0.03874023862995782,0.04102407459299073,0.993,0.993,1.0,1.0,1.0
34,350,10000,0.001059634411716676,0.005755028074836438,0.016530799343074127,JOAQUIN_DIAZ_MENA,0.942,0.025669844146296007,0.02719105166377156,0.028814694590250132,RENAN_BARRERA_CONCHA,0.93,0.02532142826372543,0.026866229946984815,0.028549261122648766,0.942,0.93,0.987,1.0,0.997
35,350,20000,0.00103407876134352,0.0056233171713957475,0.015962597203429043,JOAQUIN_DIAZ_MENA,0.818,0.017816761945241913,0.018919918815597153,0.02003848905028028,RENAN_BARRERA_CONCHA,0.811,0.01763705098928619,0.018669304845217116,0.019798015437672897,0.818,0.811,0.932,0.996,0.973
36,400,500,0.0010270950277625499,0.0052170607865553165,0.016105752059355,JOAQUIN_DIAZ_MENA,1.0,0.11647742340857983,0.12285520637856345,0.1305194116592421,JOAQUIN_DIAZ_MENA,1.0,0.11647742340857983,0.12285520637856345,0.1305194116592421,1.0,1.0,1.0,1.0,1.0
37,400,1000,0.0010532854287371998,0.005173669717167539,0.015701775672906097,JOAQUIN_DIAZ_MENA,1.0,0.08200174242045055,0.08695845268797173,0.09205917213899649,JOAQUIN_DIAZ_MENA,1.0,0.08200174242045055,0.08695845268797173,0.09205917213899649,1.0,1.0,1.0,1.0,1.0
38,400,2000,0.0010244805560319099,0.005473071049891531,0.016296998437689485,JOAQUIN_DIAZ_MENA,1.0,0.05778240073290794,0.061324276466780014,0.06491752324389691,JOAQUIN_DIAZ_MENA,1.0,0.05778240073290794,0.061324276466780014,0.06491752324389691,1.0,1.0,1.0,1.0,1.0
39,400,5000,0.0010140363516413346,0.005232621950969307,0.016396566955797606,JOAQUIN_DIAZ_MENA,0.999,0.0365151585861081,0.03866643089766447,0.04106267954479625,RENAN_BARRERA_CONCHA,0.995,0.036043526561347385,0.03821876382100045,0.04054122935209194,0.999,0.995,1.0,1.0,1.0
40,400,10000,0.0008726434655745982,0.005580815979558396,0.014894722603546368,JOAQUIN_DIAZ_MENA,0.962,0.02564492890826087,0.027208652284757606,0.02873533281584502,RENAN_BARRERA_CONCHA,0.96,0.025386449019329477,0.026844003521765275,0.02843001178708256,0.962,0.96,0.993,1.0,0.999
41,400,20000,0.000995524601073099,0.0050782296318978015,0.014499659988004097,JOAQUIN_DIAZ_MENA,0.874,0.01792802843505455,0.018983151815817945,0.02017714419872864,RENAN_BARRERA_CONCHA,0.861,0.017685621933737943,0.018777606102205052,0.01989997852231915,0.874,0.861,0.944,0.999,0.987
