,Tamaño_muestra_casillas,Tamaño_submuestra_votos,Error_maximo_q_025,Error_maximo_mediana,Error_maximo_q_975,Intervalo_M_grande_candidato_nom,Intervalo_M_grande_candidato_cob,Intervalo_M_grande_inter_q_025,Intervalo_M_grande_inter_mediana,Intervalo_M_grande_inter_q_975,Cobertura_m_candidato_nom,Cobertura_m_candidato,Cobertura_m_inter_q_025,Cobertura_m_inter_mediana,Cobertura_m_inter_q_975,Cob_JOAQUIN_DIAZ_MENA,Cob_RENAN_BARRERA_CONCHA,Cob_VIDA_ARAVARI_GOMEZ_HERRERA,Cob_VOTOS_NULOS_CAND_NO_REGIS,Cob_YAMIL_JASMIN_LOPEZ_MANRIQUE
0,100,500,0.001977560767272729,0.01051820125756217,0.031089129626727607,JOAQUIN_DIAZ_MENA,1.0,0.11585887440541498,0.1228722941609427,0.13016225033990936,JOAQUIN_DIAZ_MENA,1.0,0.11585887440541498,0.1228722941609427,0.13016225033990936,1.0,1.0,1.0,1.0,1.0
1,100,1000,0.002343122506066273,0.01161737439761984,0.032283324888591085,JOAQUIN_DIAZ_MENA,0.999,0.08183128409863895,0.08678043615077283,0.09205168777236852,JOAQUIN_DIAZ_MENA,0.999,0.08183128409863895,0.08678043615077283,0.09205168777236852,0.999,0.999,1.0,1.0,1.0
2,100,2000,0.0020770811811206577,0.012081528620086601,0.03321146967646886,JOAQUIN_DIAZ_MENA,0.977,0.05738963661897393,0.06079448341562005,0.06423308986491415,RENAN_BARRERA_CONCHA,0.965,0.056628613358255885,0.060115474843420114,0.0636210349370275,0.977,0.965,0.999,1.0,0.999
3,100,5000,0.002162066559066295,0.010394377811894256,0.03212544493877505,JOAQUIN_DIAZ_MENA,0.845,0.03563164228563555,0.037830093697664824,0.04006996092990352,RENAN_BARRERA_CONCHA,0.828,0.03508884672443828,0.03738849863010549,0.039704948564339114,0.845,0.828,0.933,0.985,0.978
4,100,10000,0.0020980834400721143,0.010894324886949858,0.03228071525805667,JOAQUIN_DIAZ_MENA,0.674,0.024454515113148573,0.025968577763153866,0.027581653137300356,RENAN_BARRERA_CONCHA,0.655,0.024218238571699323,0.02558556937803752,0.02722164812789292,0.674,0.655,0.788,0.971,0.9
5,100,20000,0.0021042617708770276,0.01149140359413725,0.031709151933155544,JOAQUIN_DIAZ_MENA,0.453,0.016154212517857064,0.017135517396716315,0.018174270456311432,RENAN_BARRERA_CONCHA,0.445,0.015951731527758497,0.01693328462050353,0.018044791016216376,0.453,0.445,0.593,0.929,0.674
6,150,500,0.0018173678127716337,0.009008895493338331,0.026478175681275192,JOAQUIN_DIAZ_MENA,1.0,0.1161192923114415,0.1227491103275849,0.12963439171597438,JOAQUIN_DIAZ_MENA,1.0,0.1161192923114415,0.1227491103275849,0.12963439171597438,1.0,1.0,1.0,1.0,1.0
7,150,1000,0.0017200857343070905,0.009027139419072516,0.026455571417083497,JOAQUIN_DIAZ_MENA,1.0,0.08194394397094622,0.08681685794862923,0.09179483409465938,JOAQUIN_DIAZ_MENA,1.0,0.08194394397094622,0.08681685794862923,0.09179483409465938,1.0,1.0,1.0,1.0,1.0
8,150,2000,0.0017935205098521146,0.009302032399912202,0.026088312797907732,JOAQUIN_DIAZ_MENA,0.996,0.057846270678678355,0.061264335890414995,0.06448584852634805,RENAN_BARRERA_CONCHA,0.993,0.05694627020686675,0.060391833311862514,0.06398411184968986,0.996,0.993,1.0,1.0,1.0
9,150,5000,0.0017213235831089794,0.00926819612917662,0.025393302040605657,JOAQUIN_DIAZ_MENA,0.915,0.03610256095189403,0.03825261116905046,0.04059636770774262,RENAN_BARRERA_CONCHA,0.901,0.03567650130425112,0.037810677628010686,0.04022703672827021,0.915,0.901,0.98,0.999,0.99
