,Tamaño_muestra_casillas,Tamaño_submuestra_votos,Error_maximo_q_025,Error_maximo_mediana,Error_maximo_q_975,Intervalo_M_grande_candidato_nom,Intervalo_M_grande_candidato_cob,Intervalo_M_grande_inter_q_025,Intervalo_M_grande_inter_mediana,Intervalo_M_grande_inter_q_975,Cobertura_m_candidato_nom,Cobertura_m_candidato,Cobertura_m_inter_q_025,Cobertura_m_inter_mediana,Cobertura_m_inter_q_975,Cob_JOAQUIN_DIAZ_MENA,Cob_RENAN_BARRERA_CONCHA,Cob_VIDA_ARAVARI_GOMEZ_HERRERA,Cob_VOTOS_NULOS_CAND_NO_REGIS,Cob_YAMIL_JASMIN_LOPEZ_MANRIQUE
0,100,500,0.005456580777518716,0.020535028880925982,0.05593897586277647,JOAQUIN_DIAZ_MENA,0.917,0.07662000375097894,0.08190302085700837,0.08661238183560112,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.879,0.0,0.011562364552037421,0.018746257450204758,0.917,0.9,0.912,0.925,0.879
1,100,1000,0.003667484301967444,0.015500365977996866,0.042279523501302325,JOAQUIN_DIAZ_MENA,0.909,0.05576509384527808,0.059236844108327164,0.06319683249481824,RENAN_BARRERA_CONCHA,0.898,0.05466959331344036,0.05841460611560845,0.06215294216813521,0.909,0.898,0.899,0.936,0.909
2,100,1500,0.003511362413359879,0.013590059030065197,0.03787163640334794,JOAQUIN_DIAZ_MENA,0.86,0.04567595297243408,0.04852185821319144,0.05172612218000365,RENAN_BARRERA_CONCHA,0.854,0.04512916082332633,0.04789650651904745,0.050798026925313905,0.86,0.854,0.881,0.922,0.889
3,100,2000,0.0030694171188324518,0.012759596087018765,0.03725828751573592,JOAQUIN_DIAZ_MENA,0.831,0.040025716933795634,0.042326485539022574,0.04486659296554584,RENAN_BARRERA_CONCHA,0.822,0.03925960437780377,0.04170608711746818,0.04419872075608135,0.831,0.822,0.847,0.921,0.837
4,100,3000,0.0026033343407857634,0.011611571612279714,0.032137353885668615,JOAQUIN_DIAZ_MENA,0.808,0.03268631194640178,0.03468460318886357,0.036816537420242136,RENAN_BARRERA_CONCHA,0.781,0.03213875709110624,0.034187824996253696,0.03630096119459144,0.808,0.781,0.839,0.897,0.832
5,100,4000,0.0028049011398959033,0.01108907969726014,0.031109844278830713,JOAQUIN_DIAZ_MENA,0.768,0.02846298550223248,0.030139153504196742,0.03202614502340917,RENAN_BARRERA_CONCHA,0.744,0.028067733612704295,0.02971006161844003,0.031653726625589566,0.768,0.744,0.798,0.901,0.809
6,150,500,0.005182476983837699,0.020671512782465533,0.05568350726345888,JOAQUIN_DIAZ_MENA,0.926,0.07721192716219477,0.08195658623695418,0.0873176726306709,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.871,0.0,0.010599854585571796,0.018925043321070027,0.926,0.917,0.93,0.924,0.871
7,150,1000,0.003690527146821992,0.01494579155948822,0.042332332442196564,JOAQUIN_DIAZ_MENA,0.898,0.055772198863131214,0.05925238859297363,0.0630454212563719,RENAN_BARRERA_CONCHA,0.896,0.0548121892460738,0.05835437594123441,0.062127808598321385,0.898,0.896,0.915,0.941,0.906
8,150,1500,0.002854376215547781,0.013169751340735392,0.03631488919224556,JOAQUIN_DIAZ_MENA,0.888,0.04582926738560863,0.04875898943348794,0.05176956342755196,JOAQUIN_DIAZ_MENA,0.888,0.04582926738560863,0.04875898943348794,0.05176956342755196,0.888,0.889,0.894,0.929,0.908
9,150,2000,0.0031107798959222827,0.012223180439734194,0.03284047312459037,JOAQUIN_DIAZ_MENA,0.87,0.04007580858011635,0.04236549012622787,0.044796670289339806,RENAN_BARRERA_CONCHA,0.857,0.039348183092940484,0.04176396007748981,0.04436948756044957,0.87,0.857,0.905,0.948,0.882
10,150,3000,0.002773690180739345,0.010097207635930083,0.029928498817627405,JOAQUIN_DIAZ_MENA,0.861,0.03261457311824569,0.03461177052010067,0.03685994904520631,RENAN_BARRERA_CONCHA,0.837,0.032229348718151585,0.034181434671436056,0.03628687819412486,0.861,0.837,0.858,0.922,0.868
11,150,4000,0.0021759666138827243,0.009560209111093398,0.028147126638062035,JOAQUIN_DIAZ_MENA,0.811,0.028357810293538517,0.030129346264867213,0.03192342319402732,RENAN_BARRERA_CONCHA,0.793,0.02795763528243669,0.029762867463849707,0.03150788661443606,0.811,0.793,0.843,0.93,0.866
12,200,500,0.005428469794556407,0.020061850071425802,0.056840873081407534,JOAQUIN_DIAZ_MENA,0.924,0.07692510491670704,0.08207917090765685,0.08704230520930026,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.902,0.0,0.011542085603240344,0.01867769084256605,0.924,0.925,0.922,0.923,0.902
13,200,1000,0.0040203989948298605,0.014380772612239912,0.03915548416604751,JOAQUIN_DIAZ_MENA,0.922,0.055906491242774935,0.05939792730483637,0.0629264421160204,JOAQUIN_DIAZ_MENA,0.922,0.055906491242774935,0.05939792730483637,0.0629264421160204,0.922,0.923,0.927,0.944,0.924
14,200,1500,0.0032152023479035305,0.01217497586171648,0.0344733667612851,JOAQUIN_DIAZ_MENA,0.907,0.04610374427999995,0.048662452060492106,0.051476248223618244,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.9,0.003610760715669428,0.006977778748597765,0.00977318254977375,0.907,0.912,0.931,0.944,0.9
15,200,2000,0.002728567886478892,0.010970589558715826,0.03220379277705834,JOAQUIN_DIAZ_MENA,0.883,0.03985845873021882,0.04229375375315708,0.04511325362274117,JOAQUIN_DIAZ_MENA,0.883,0.03985845873021882,0.04229375375315708,0.04511325362274117,0.883,0.888,0.903,0.923,0.893
16,200,3000,0.0024055035500376216,0.009745395292154345,0.027006675917665885,JOAQUIN_DIAZ_MENA,0.872,0.03259086627266631,0.034727401131873364,0.03686025530384978,RENAN_BARRERA_CONCHA,0.857,0.032152775040754325,0.034240474389964026,0.036289417677503634,0.872,0.857,0.883,0.936,0.896
17,200,4000,0.0022500563321487766,0.008994652916509777,0.025673734870047222,JOAQUIN_DIAZ_MENA,0.856,0.028370699098238545,0.030108269093652523,0.03186579467465367,RENAN_BARRERA_CONCHA,0.836,0.027977401238421126,0.029701517136203365,0.03138813784695778,0.856,0.836,0.887,0.914,0.886
18,250,500,0.004986736800359131,0.019147304881359434,0.053160310483090556,JOAQUIN_DIAZ_MENA,0.938,0.07708094167253032,0.08202948285070533,0.0874163678455711,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.889,0.0,0.010631774124727406,0.01895789896648516,0.938,0.923,0.933,0.923,0.889
19,250,1000,0.0035365450996972057,0.014491343731355216,0.03934066825540241,JOAQUIN_DIAZ_MENA,0.923,0.05568091729678722,0.05923630011807121,0.06295044073912394,VIDA_ARAVARI_GOMEZ_HERRERA,0.913,0.018089111966005107,0.022351574441608443,0.02619251347884387,0.923,0.923,0.913,0.928,0.917
20,250,1500,0.0031447703850862106,0.01244051820931219,0.03480089395145247,JOAQUIN_DIAZ_MENA,0.91,0.04587831976076096,0.0488488344189662,0.05184983443642494,RENAN_BARRERA_CONCHA,0.898,0.04514238855670403,0.048109920759453306,0.05101022972427315,0.91,0.898,0.908,0.934,0.902
21,250,2000,0.0025373740748305673,0.010745251178899753,0.03025047394634801,JOAQUIN_DIAZ_MENA,0.911,0.039854773239540536,0.042350670285292935,0.04504680399618718,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.89,0.003702872318349275,0.006095780184136496,0.00825367801240242,0.911,0.898,0.913,0.935,0.89
22,250,3000,0.0025756464102223387,0.009406877899736127,0.026550501386245467,JOAQUIN_DIAZ_MENA,0.889,0.03284332445718113,0.034704789897140875,0.03701311335516428,RENAN_BARRERA_CONCHA,0.875,0.03234961126443411,0.03424056993164762,0.03651805100163397,0.889,0.875,0.897,0.922,0.91
23,250,4000,0.0020067545403458166,0.008073671896810741,0.023395532449825413,JOAQUIN_DIAZ_MENA,0.879,0.028256230338860176,0.03021297837202061,0.03191259570814844,RENAN_BARRERA_CONCHA,0.875,0.02806735453113763,0.029805671411991946,0.031606727133914526,0.879,0.875,0.899,0.928,0.914
