,Tamaño_muestra_casillas,Tamaño_submuestra_votos,Error_maximo_q_025,Error_maximo_mediana,Error_maximo_q_975,Intervalo_M_grande_candidato_nom,Intervalo_M_grande_candidato_cob,Intervalo_M_grande_inter_q_025,Intervalo_M_grande_inter_mediana,Intervalo_M_grande_inter_q_975,Cobertura_m_candidato_nom,Cobertura_m_candidato,Cobertura_m_inter_q_025,Cobertura_m_inter_mediana,Cobertura_m_inter_q_975,Cob_JOAQUIN_DIAZ_MENA,Cob_RENAN_BARRERA_CONCHA,Cob_VIDA_ARAVARI_GOMEZ_HERRERA,Cob_VOTOS_NULOS_CAND_NO_REGIS,Cob_YAMIL_JASMIN_LOPEZ_MANRIQUE
0,100,500,0.00190807357300532,0.008924322917433392,0.02629210423600345,JOAQUIN_DIAZ_MENA,1.0,0.11152727256782785,0.11842348467820521,0.12629988598063935,JOAQUIN_DIAZ_MENA,1.0,0.11152727256782785,0.11842348467820521,0.12629988598063935,1.0,1.0,1.0,1.0,1.0
1,100,1000,0.001895795455485585,0.008597418492199322,0.02423439172675172,JOAQUIN_DIAZ_MENA,1.0,0.0793104102933841,0.08423807275903608,0.08982029820966594,JOAQUIN_DIAZ_MENA,1.0,0.0793104102933841,0.08423807275903608,0.08982029820966594,1.0,1.0,1.0,1.0,1.0
2,100,2000,0.001882063745854522,0.008635927389270215,0.026597067641692375,JOAQUIN_DIAZ_MENA,0.991,0.05599765045774518,0.05961677824211195,0.06316733487980533,RENAN_BARRERA_CONCHA,0.987,0.05536201009195731,0.05876198463216961,0.06246013679096099,0.991,0.987,0.999,1.0,0.999
3,100,5000,0.001709936029197766,0.009112099292290815,0.025506229980338045,JOAQUIN_DIAZ_MENA,0.932,0.03517557416265527,0.03732236239557718,0.039568672864112156,RENAN_BARRERA_CONCHA,0.901,0.03453612571017566,0.036765824734455915,0.03894167218182515,0.932,0.901,0.965,0.989,0.98
4,100,10000,0.0019005864245457194,0.008498016748609893,0.02467423791942197,JOAQUIN_DIAZ_MENA,0.789,0.024125417244399743,0.025713543988725995,0.027294531661126987,RENAN_BARRERA_CONCHA,0.765,0.02369341354059974,0.025250180414732565,0.026938384002376588,0.789,0.765,0.84,0.962,0.9
5,100,20000,0.0018308400523728923,0.008520192538759741,0.0250119796960254,JOAQUIN_DIAZ_MENA,0.667,0.01730180603139629,0.01965887996609439,0.024080663764544912,RENAN_BARRERA_CONCHA,0.624,0.016699151427806327,0.018681170770516564,0.022678584321968447,0.667,0.624,0.71,0.94,0.808
6,150,500,0.0014811252089959475,0.006699928702172092,0.02133765094168951,JOAQUIN_DIAZ_MENA,1.0,0.11196232943868241,0.11866549972238663,0.1261308202456443,JOAQUIN_DIAZ_MENA,1.0,0.11196232943868241,0.11866549972238663,0.1261308202456443,1.0,1.0,1.0,1.0,1.0
7,150,1000,0.0013947687792289303,0.007066171116035969,0.020078058026280682,JOAQUIN_DIAZ_MENA,1.0,0.07981265087905348,0.08464244363769136,0.09009793364653597,JOAQUIN_DIAZ_MENA,1.0,0.07981265087905348,0.08464244363769136,0.09009793364653597,1.0,1.0,1.0,1.0,1.0
8,150,2000,0.0014092997848832744,0.007293077166010631,0.020098477068446474,JOAQUIN_DIAZ_MENA,1.0,0.05664386411577176,0.05994051662389083,0.06361680693636412,RENAN_BARRERA_CONCHA,0.999,0.055755706033754196,0.059038033551707,0.06275180198853132,1.0,0.999,0.999,1.0,0.999
9,150,5000,0.0016156053874834917,0.007090664421167847,0.020223690765692907,JOAQUIN_DIAZ_MENA,0.977,0.03557836277664526,0.037806594966946855,0.0399641316308272,RENAN_BARRERA_CONCHA,0.966,0.034881039086653465,0.037169151078241175,0.03937498735123501,0.977,0.966,0.984,1.0,0.999
10,150,10000,0.001561055744461605,0.007657405825543057,0.02012848083676512,JOAQUIN_DIAZ_MENA,0.882,0.024827643506860626,0.026338489296884426,0.027981228668924708,RENAN_BARRERA_CONCHA,0.845,0.024338544077925815,0.02581242581242349,0.027338765709798894,0.882,0.845,0.933,0.981,0.97
11,150,20000,0.0014699269421131575,0.0072036871013143045,0.02110626636312128,JOAQUIN_DIAZ_MENA,0.764,0.017914798644578518,0.01958676946422533,0.02251165307870753,RENAN_BARRERA_CONCHA,0.708,0.017197255719525475,0.018732088690293885,0.021348676925147,0.764,0.708,0.824,0.962,0.883
12,200,500,0.0011957300060806643,0.005946453102380261,0.017151565092743244,JOAQUIN_DIAZ_MENA,1.0,0.11184245590061681,0.11857820914976683,0.126275220166361,JOAQUIN_DIAZ_MENA,1.0,0.11184245590061681,0.11857820914976683,0.126275220166361,1.0,1.0,1.0,1.0,1.0
13,200,1000,0.0012578864782351387,0.006005039342307207,0.01680375811841697,JOAQUIN_DIAZ_MENA,1.0,0.0800460860338793,0.08472682612274438,0.0898603056998139,JOAQUIN_DIAZ_MENA,1.0,0.0800460860338793,0.08472682612274438,0.0898603056998139,1.0,1.0,1.0,1.0,1.0
14,200,2000,0.0013011356033957471,0.0061471530433648836,0.01728079967041246,JOAQUIN_DIAZ_MENA,1.0,0.05688501033766052,0.06019013083335745,0.0638811472607944,JOAQUIN_DIAZ_MENA,1.0,0.05688501033766052,0.06019013083335745,0.0638811472607944,1.0,1.0,1.0,1.0,1.0
15,200,5000,0.001300041622810657,0.006199598565131081,0.01828751955934202,JOAQUIN_DIAZ_MENA,0.984,0.03561523079707363,0.037950109543802374,0.04016310364362319,RENAN_BARRERA_CONCHA,0.983,0.03529536150241395,0.03727032537714778,0.03951355171888634,0.984,0.983,0.995,1.0,0.998
16,200,10000,0.0015005739597326146,0.006189702360573812,0.017731575624573108,JOAQUIN_DIAZ_MENA,0.931,0.025080047776254707,0.026589263968373328,0.028410596612165724,RENAN_BARRERA_CONCHA,0.911,0.024592693555517804,0.02604651546348255,0.027743445443663174,0.931,0.911,0.959,0.996,0.986
17,200,20000,0.0012161123983536165,0.005864320004091856,0.015806077251842698,JOAQUIN_DIAZ_MENA,0.844,0.018045153684444967,0.01987466084279943,0.022505372529007767,RENAN_BARRERA_CONCHA,0.808,0.01733828748760915,0.019083865063237754,0.021537414488490912,0.844,0.808,0.887,0.984,0.931
18,250,500,0.0011296677187159932,0.005314784575060218,0.015104577260067037,JOAQUIN_DIAZ_MENA,1.0,0.11207443155227119,0.11894092319692642,0.12552557251715593,JOAQUIN_DIAZ_MENA,1.0,0.11207443155227119,0.11894092319692642,0.12552557251715593,1.0,1.0,1.0,1.0,1.0
19,250,1000,0.0011827105690606187,0.005634166550454511,0.015746905040991972,JOAQUIN_DIAZ_MENA,1.0,0.0801953799216001,0.08489900149242272,0.0901509490388661,JOAQUIN_DIAZ_MENA,1.0,0.0801953799216001,0.08489900149242272,0.0901509490388661,1.0,1.0,1.0,1.0,1.0
20,250,2000,0.0012362397280443777,0.005666640711782911,0.015835441117406486,JOAQUIN_DIAZ_MENA,1.0,0.05692305735453647,0.0601437038538985,0.06380807112815001,JOAQUIN_DIAZ_MENA,1.0,0.05692305735453647,0.0601437038538985,0.06380807112815001,1.0,1.0,1.0,1.0,1.0
21,250,5000,0.0011833007778073682,0.005236377968599992,0.01546726937627965,JOAQUIN_DIAZ_MENA,0.996,0.035881642482304014,0.03817167485240311,0.04047119356661107,JOAQUIN_DIAZ_MENA,0.996,0.035881642482304014,0.03817167485240311,0.04047119356661107,0.996,0.996,1.0,1.0,1.0
22,250,10000,0.0012466844067667779,0.00540120821995585,0.015386672080008882,JOAQUIN_DIAZ_MENA,0.96,0.025317720301929685,0.02679222718246102,0.028344070004365257,RENAN_BARRERA_CONCHA,0.956,0.024873509801433047,0.026293904452404093,0.02794849562808186,0.96,0.956,0.989,1.0,0.989
23,250,20000,0.0011865693702391566,0.005550096080942729,0.015588293234102806,JOAQUIN_DIAZ_MENA,0.872,0.018409865253990125,0.019943641449354232,0.022254393584127334,RENAN_BARRERA_CONCHA,0.849,0.017736065278817152,0.019207424933908618,0.021298159523739386,0.872,0.849,0.931,0.994,0.952
24,300,500,0.0011964545008878457,0.004895024372986584,0.014080432693737814,JOAQUIN_DIAZ_MENA,1.0,0.1118383630236459,0.11892937861246877,0.12638592575948057,JOAQUIN_DIAZ_MENA,1.0,0.1118383630236459,0.11892937861246877,0.12638592575948057,1.0,1.0,1.0,1.0,1.0
25,300,1000,0.0010813569592178771,0.004770591045458961,0.014080314489723647,JOAQUIN_DIAZ_MENA,1.0,0.08024441494527892,0.08497847947624385,0.0900962269703318,JOAQUIN_DIAZ_MENA,1.0,0.08024441494527892,0.08497847947624385,0.0900962269703318,1.0,1.0,1.0,1.0,1.0
26,300,2000,0.0010478289778234299,0.004974267951078248,0.014876687138100066,JOAQUIN_DIAZ_MENA,1.0,0.05654096547249807,0.06036499531214071,0.06412788383319787,JOAQUIN_DIAZ_MENA,1.0,0.05654096547249807,0.06036499531214071,0.06412788383319787,1.0,1.0,1.0,1.0,1.0
27,300,5000,0.0010352215121338243,0.00465714493357057,0.014207784511063328,JOAQUIN_DIAZ_MENA,0.999,0.035797887620101776,0.03805007485609779,0.040348819661191145,JOAQUIN_DIAZ_MENA,0.999,0.035797887620101776,0.03805007485609779,0.040348819661191145,0.999,1.0,0.999,1.0,0.999
28,300,10000,0.001144859422240251,0.0050857147052773555,0.013001704563663658,JOAQUIN_DIAZ_MENA,0.987,0.025270843321745926,0.02688210378795114,0.028477599442345715,RENAN_BARRERA_CONCHA,0.979,0.024672569578713808,0.026406135657305707,0.02808546305172077,0.987,0.979,0.985,1.0,0.995
29,300,20000,0.001015512768229767,0.004597918068174028,0.013581156337692853,JOAQUIN_DIAZ_MENA,0.934,0.018415679537721438,0.02009298013599045,0.022323507010097846,RENAN_BARRERA_CONCHA,0.905,0.017927271336772074,0.01940184217063365,0.021487097073680635,0.934,0.905,0.958,0.998,0.983
30,350,500,0.0011006458723271015,0.004438343685776308,0.012275681045107673,JOAQUIN_DIAZ_MENA,1.0,0.11213298319705634,0.11880970213146155,0.12653222896221278,JOAQUIN_DIAZ_MENA,1.0,0.11213298319705634,0.11880970213146155,0.12653222896221278,1.0,1.0,1.0,1.0,1.0
31,350,1000,0.0009963092567710746,0.0043239944506490435,0.012777409942458693,JOAQUIN_DIAZ_MENA,1.0,0.0801635160398253,0.08490260676902558,0.09006944276283245,JOAQUIN_DIAZ_MENA,1.0,0.0801635160398253,0.08490260676902558,0.09006944276283245,1.0,1.0,1.0,1.0,1.0
32,350,2000,0.0011117130142224596,0.0045311628865306874,0.0127282836502821,JOAQUIN_DIAZ_MENA,1.0,0.05706753754038306,0.060365556531692344,0.06389978739427307,JOAQUIN_DIAZ_MENA,1.0,0.05706753754038306,0.060365556531692344,0.06389978739427307,1.0,1.0,1.0,1.0,1.0
33,350,5000,0.0008996184592007006,0.004564622527756024,0.012902343644706047,JOAQUIN_DIAZ_MENA,1.0,0.03592480369320966,0.03818622135813049,0.04054634631443183,JOAQUIN_DIAZ_MENA,1.0,0.03592480369320966,0.03818622135813049,0.04054634631443183,1.0,1.0,1.0,1.0,1.0
34,350,10000,0.0008439520311679611,0.004481426297215568,0.012865475466489222,JOAQUIN_DIAZ_MENA,0.989,0.025398191231273258,0.02699670953314967,0.02866828497100825,RENAN_BARRERA_CONCHA,0.984,0.02501017895704021,0.026425999042197168,0.028008687325270176,0.989,0.984,0.997,1.0,1.0
35,350,20000,0.0010593897962292817,0.004548693333273204,0.012019960942943905,JOAQUIN_DIAZ_MENA,0.944,0.01850672543114306,0.02016722772284052,0.022127222243650248,RENAN_BARRERA_CONCHA,0.926,0.018022704452993397,0.01942690829837246,0.02139026299909778,0.944,0.926,0.972,1.0,0.991
36,400,500,0.0009398409654416212,0.00420088173867969,0.01189174553071386,JOAQUIN_DIAZ_MENA,1.0,0.1125979077602497,0.11900793322563055,0.12570011950298288,JOAQUIN_DIAZ_MENA,1.0,0.1125979077602497,0.11900793322563055,0.12570011950298288,1.0,1.0,1.0,1.0,1.0
37,400,1000,0.0009242564636502831,0.004087880056620752,0.012068810420245593,JOAQUIN_DIAZ_MENA,1.0,0.07990430175913085,0.08507599732903329,0.08963532812357468,JOAQUIN_DIAZ_MENA,1.0,0.07990430175913085,0.08507599732903329,0.08963532812357468,1.0,1.0,1.0,1.0,1.0
38,400,2000,0.0008669240266020454,0.004142689969547614,0.011293147296277952,JOAQUIN_DIAZ_MENA,1.0,0.056933662902387015,0.06045139480833053,0.06407131621940827,JOAQUIN_DIAZ_MENA,1.0,0.056933662902387015,0.06045139480833053,0.06407131621940827,1.0,1.0,1.0,1.0,1.0
39,400,5000,0.0009625445459501057,0.003990190848809028,0.011610248989547645,JOAQUIN_DIAZ_MENA,0.999,0.03605143038009469,0.03823929927083994,0.04056599628362256,JOAQUIN_DIAZ_MENA,0.999,0.03605143038009469,0.03823929927083994,0.04056599628362256,0.999,0.999,1.0,1.0,1.0
40,400,10000,0.0008599834471264128,0.004001599117170716,0.01183719114493556,JOAQUIN_DIAZ_MENA,0.996,0.02537202272149521,0.027075797042577343,0.028674302637069063,RENAN_BARRERA_CONCHA,0.991,0.025019177652036692,0.02660536125131782,0.028238616555860064,0.996,0.991,0.997,1.0,1.0
41,400,20000,0.0009040387483080789,0.004155129838575938,0.012477094506295491,JOAQUIN_DIAZ_MENA,0.951,0.01878558645639198,0.020272094314161992,0.022348161963039133,RENAN_BARRERA_CONCHA,0.938,0.018126671055930632,0.0195527581220023,0.021424026007521187,0.951,0.938,0.989,1.0,0.993
