,Tamaño_muestra_votos,Error_maximo_q_025,Error_maximo_mediana,Error_maximo_q_975,Intervalo_M_grande_candidato_nom,Intervalo_M_grande_candidato_cob,Intervalo_M_grande_inter_q_025,Intervalo_M_grande_inter_mediana,Intervalo_M_grande_inter_q_975,Cobertura_m_candidato_nom,Cobertura_m_candidato,Cobertura_m_inter_q_025,Cobertura_m_inter_mediana,Cobertura_m_inter_q_975,Cob_JOAQUIN_DIAZ_MENA,Cob_RENAN_BARRERA_CONCHA,Cob_VIDA_ARAVARI_GOMEZ_HERRERA,Cob_VOTOS_NULOS_CAND_NO_REGIS,Cob_YAMIL_JASMIN_LOPEZ_MANRIQUE
0,500.0,0.004715961301609003,0.01944481241184312,0.054251471251908656,JOAQUIN_DIAZ_MENA,0.942,0.08227848808204104,0.08709258049719912,0.09277685592189096,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.925,0.0,0.011255022741315176,0.01895674678163004,0.942,0.948,0.946,0.941,0.925
1,1000.0,0.003407255640609637,0.013714794450183865,0.0374123342608191,JOAQUIN_DIAZ_MENA,0.945,0.058060012066066806,0.06155758726256594,0.06516829209153632,JOAQUIN_DIAZ_MENA,0.945,0.058060012066066806,0.06155758726256594,0.06516829209153632,0.945,0.951,0.947,0.946,0.959
2,2000.0,0.0026150232582561965,0.009510190308252758,0.026820856140975794,JOAQUIN_DIAZ_MENA,0.948,0.04122504014500611,0.043615938859791537,0.04607275374638854,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.93,0.004221429966349581,0.006159448087194051,0.008184300040945032,0.948,0.953,0.942,0.953,0.93
3,3000.0,0.0019963795850849037,0.007855710601481575,0.022842755949542604,JOAQUIN_DIAZ_MENA,0.937,0.03353325594256858,0.0356523142970378,0.03782193033272149,RENAN_BARRERA_CONCHA,0.929,0.033294619830689445,0.035197385425701166,0.03728104663385053,0.937,0.929,0.949,0.949,0.946
4,4000.0,0.001951016610227535,0.006954571935665732,0.019222069024794605,JOAQUIN_DIAZ_MENA,0.944,0.029164558216207916,0.030875468837054387,0.032692164728683686,RENAN_BARRERA_CONCHA,0.938,0.02876861399007305,0.03052528212277439,0.032262673165083994,0.944,0.938,0.943,0.954,0.949
5,5000.0,0.0014403400899477689,0.006212370159521863,0.01584446733300104,JOAQUIN_DIAZ_MENA,0.958,0.026004461080472906,0.027634841680567984,0.029227285557562085,VOTOS_NULOS_CAND_NO_REGIS,0.94,0.007168075981347441,0.007990015237460686,0.008895134351406857,0.958,0.954,0.953,0.94,0.949
6,10000.0,0.0010114602197247274,0.0041406297822201565,0.011656279134361803,JOAQUIN_DIAZ_MENA,0.958,0.018460151312005242,0.0195673057593006,0.02066568040964723,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.943,0.002398766171852627,0.0028381719313994255,0.003223462961154732,0.958,0.95,0.956,0.949,0.943
