,Tamaño_muestra_votos,Error_maximo_q_025,Error_maximo_mediana,Error_maximo_q_975,Intervalo_M_grande_candidato_nom,Intervalo_M_grande_candidato_cob,Intervalo_M_grande_inter_q_025,Intervalo_M_grande_inter_mediana,Intervalo_M_grande_inter_q_975,Cobertura_m_candidato_nom,Cobertura_m_candidato,Cobertura_m_inter_q_025,Cobertura_m_inter_mediana,Cobertura_m_inter_q_975,Cob_JOAQUIN_DIAZ_MENA,Cob_RENAN_BARRERA_CONCHA,Cob_VIDA_ARAVARI_GOMEZ_HERRERA,Cob_VOTOS_NULOS_CAND_NO_REGIS,Cob_YAMIL_JASMIN_LOPEZ_MANRIQUE
0,500.0,0.004716679898107023,0.01811976991786496,0.05108353480055158,JOAQUIN_DIAZ_MENA,0.954,0.07733084581139153,0.08220616811614631,0.08734292783538167,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.902,0.0,0.01175074595398335,0.018516091457025395,0.954,0.945,0.927,0.931,0.902
1,1000.0,0.003574097035000044,0.012996604286714453,0.0366672993579811,JOAQUIN_DIAZ_MENA,0.956,0.055734779255334634,0.05942978017838832,0.06293347539987411,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.916,0.003529666121978974,0.008408019752855532,0.012312601656463763,0.956,0.947,0.939,0.943,0.916
2,2000.0,0.0024628456904242013,0.009266680096906649,0.025707672403166973,JOAQUIN_DIAZ_MENA,0.945,0.040119024008366144,0.04240411040829192,0.045042783986555236,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.922,0.003995695302228326,0.006147113604144998,0.007905437440644036,0.945,0.945,0.948,0.953,0.922
3,3000.0,0.00196003792247505,0.0077496594929079565,0.020707703190533784,JOAQUIN_DIAZ_MENA,0.955,0.03285311043287453,0.034792716360687204,0.03697099957434234,VOTOS_NULOS_CAND_NO_REGIS,0.942,0.008804481243912046,0.010231620735680524,0.011631974425876513,0.955,0.949,0.95,0.942,0.956
4,4000.0,0.0016198165895112513,0.006640130186119753,0.017876953204594516,JOAQUIN_DIAZ_MENA,0.96,0.028478840132652634,0.030244091091309072,0.03202847373201698,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.945,0.0034079389337562287,0.004401074894495673,0.005454048735444232,0.96,0.959,0.954,0.948,0.945
5,5000.0,0.0014573929605946748,0.005990192720471799,0.017427201634464217,JOAQUIN_DIAZ_MENA,0.942,0.025546658473478687,0.027086139892936678,0.028792601839673783,VIDA_ARAVARI_GOMEZ_HERRERA,0.941,0.009351145742236529,0.010297539002681542,0.011260453693249833,0.942,0.944,0.941,0.95,0.956
6,10000.0,0.0011300423954004346,0.004279100082354853,0.012278416817009797,JOAQUIN_DIAZ_MENA,0.948,0.018122373934537233,0.019219659856720833,0.020339819138655714,VIDA_ARAVARI_GOMEZ_HERRERA,0.938,0.006737641728944963,0.007325059215152672,0.007898956946013906,0.948,0.944,0.938,0.951,0.945
