,Tamaño_muestra_votos,Error_maximo_q_025,Error_maximo_mediana,Error_maximo_q_975,Intervalo_M_grande_candidato_nom,Intervalo_M_grande_candidato_cob,Intervalo_M_grande_inter_q_025,Intervalo_M_grande_inter_mediana,Intervalo_M_grande_inter_q_975,Cobertura_m_candidato_nom,Cobertura_m_candidato,Cobertura_m_inter_q_025,Cobertura_m_inter_mediana,Cobertura_m_inter_q_975,Cob_JOAQUIN_DIAZ_MENA,Cob_RENAN_BARRERA_CONCHA,Cob_VIDA_ARAVARI_GOMEZ_HERRERA,Cob_VOTOS_NULOS_CAND_NO_REGIS,Cob_YAMIL_JASMIN_LOPEZ_MANRIQUE
0,500.0,0.004995177498844972,0.019781928464538523,0.051090804249893006,JOAQUIN_DIAZ_MENA,0.943,0.07692621721409396,0.08224506422539699,0.08763461334552272,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.905,0.0,0.011686243155118063,0.01874198773184642,0.943,0.933,0.927,0.925,0.905
1,1000.0,0.0036545294879506214,0.012792576114693368,0.03584004179637477,JOAQUIN_DIAZ_MENA,0.945,0.055938358851722485,0.059241711592005086,0.06286868506770603,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.93,0.0036620252133047313,0.008460042355851908,0.012056273874992366,0.945,0.955,0.935,0.957,0.93
2,2000.0,0.0023599795083400457,0.00936743819324965,0.025470268790672095,JOAQUIN_DIAZ_MENA,0.958,0.03994877054521153,0.04247357928170786,0.04512250093083,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.928,0.003956274433482934,0.006150445021445697,0.008004633105877275,0.958,0.957,0.949,0.945,0.928
3,3000.0,0.002017149330145219,0.00793628341035224,0.02172165208990845,JOAQUIN_DIAZ_MENA,0.923,0.03268799449577306,0.03472443354353827,0.03674662525003371,JOAQUIN_DIAZ_MENA,0.923,0.03268799449577306,0.03472443354353827,0.03674662525003371,0.923,0.925,0.929,0.938,0.944
4,4000.0,0.0017596316392063493,0.006669971222139248,0.019555874231401146,JOAQUIN_DIAZ_MENA,0.936,0.02855349506987698,0.030188119087894566,0.03185446112874659,JOAQUIN_DIAZ_MENA,0.936,0.02855349506987698,0.030188119087894566,0.03185446112874659,0.936,0.942,0.949,0.942,0.944
5,5000.0,0.0016464080143070653,0.005820265560474158,0.016247622840786645,JOAQUIN_DIAZ_MENA,0.961,0.025438283125585628,0.02701823026652503,0.028626111839897724,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.942,0.003167461525399892,0.003947455001075158,0.004728052620518941,0.961,0.956,0.952,0.951,0.942
6,10000.0,0.0010361429663484107,0.0044330448989121085,0.012096786507810422,JOAQUIN_DIAZ_MENA,0.947,0.01804749898977815,0.019197630209288052,0.02033711687225429,RENAN_BARRERA_CONCHA,0.939,0.017923211599156778,0.018914460468641703,0.020032427019905444,0.947,0.939,0.947,0.946,0.95
