,Tamaño_muestra_votos,Error_maximo_q_025,Error_maximo_mediana,Error_maximo_q_975,Intervalo_M_grande_candidato_nom,Intervalo_M_grande_candidato_cob,Intervalo_M_grande_inter_q_025,Intervalo_M_grande_inter_mediana,Intervalo_M_grande_inter_q_975,Cobertura_m_candidato_nom,Cobertura_m_candidato,Cobertura_m_inter_q_025,Cobertura_m_inter_mediana,Cobertura_m_inter_q_975,Cob_JOAQUIN_DIAZ_MENA,Cob_RENAN_BARRERA_CONCHA,Cob_VIDA_ARAVARI_GOMEZ_HERRERA,Cob_VOTOS_NULOS_CAND_NO_REGIS,Cob_YAMIL_JASMIN_LOPEZ_MANRIQUE
0,500.0,0.004747363653676422,0.018717239701983912,0.04820914837511845,JOAQUIN_DIAZ_MENA,0.943,0.07708105649175895,0.08217828526998999,0.08754724670343532,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.896,0.0,0.010582428845127665,0.018771282595395903,0.943,0.942,0.935,0.942,0.896
1,1000.0,0.0032505874292188502,0.01309886154320744,0.03656954332197931,JOAQUIN_DIAZ_MENA,0.946,0.0558089090075451,0.05941223137398688,0.06304097337290675,RENAN_BARRERA_CONCHA,0.933,0.05535913169592615,0.05856713736123553,0.062157691715628044,0.946,0.933,0.947,0.937,0.936
2,1500.0,0.0033263380965194685,0.011328378717698009,0.030396469929640894,JOAQUIN_DIAZ_MENA,0.928,0.045951415413233145,0.048906483322184696,0.052242674692066095,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.924,0.004181988327584674,0.006987829656036958,0.00950705000817921,0.928,0.935,0.939,0.936,0.924
3,2000.0,0.0024651502075513226,0.009572917714254697,0.02583987713419234,JOAQUIN_DIAZ_MENA,0.951,0.03990748864041442,0.04240528990052181,0.045000102520077134,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.914,0.004027568888568937,0.006153397719173252,0.008098055069339872,0.951,0.943,0.939,0.951,0.914
4,3000.0,0.002049670650086569,0.007649150978415318,0.020920254000697823,JOAQUIN_DIAZ_MENA,0.949,0.032810408199016365,0.03480753875193801,0.03682776745763945,VIDA_ARAVARI_GOMEZ_HERRERA,0.938,0.011783289271688214,0.013244599185219261,0.014712586589036023,0.949,0.943,0.938,0.955,0.945
5,4000.0,0.0016014642233736095,0.00668331451063689,0.018458734163206328,JOAQUIN_DIAZ_MENA,0.945,0.028388409332533518,0.030204178384675484,0.03205840874236034,RENAN_BARRERA_CONCHA,0.942,0.028069422248480816,0.029799916105304913,0.03161941679894455,0.945,0.942,0.944,0.944,0.954
6,5000.0,0.0018032274942287917,0.0059420923082237065,0.015337608443182446,JOAQUIN_DIAZ_MENA,0.957,0.025529458567046737,0.027058030908427788,0.028653018721533145,VOTOS_NULOS_CAND_NO_REGIS,0.943,0.0070787844322013896,0.00794743714877766,0.008844028979926729,0.957,0.955,0.948,0.943,0.946
