,Tamaño_muestra_votos,Error_maximo_q_025,Error_maximo_mediana,Error_maximo_q_975,Intervalo_M_grande_candidato_nom,Intervalo_M_grande_candidato_cob,Intervalo_M_grande_inter_q_025,Intervalo_M_grande_inter_mediana,Intervalo_M_grande_inter_q_975,Cobertura_m_candidato_nom,Cobertura_m_candidato,Cobertura_m_inter_q_025,Cobertura_m_inter_mediana,Cobertura_m_inter_q_975,Cob_JOAQUIN_DIAZ_MENA,Cob_RENAN_BARRERA_CONCHA,Cob_VIDA_ARAVARI_GOMEZ_HERRERA,Cob_VOTOS_NULOS_CAND_NO_REGIS,Cob_YAMIL_JASMIN_LOPEZ_MANRIQUE
0,500.0,0.00496350912785368,0.01903214937087322,0.053505488844144876,JOAQUIN_DIAZ_MENA,0.934,0.07747735494088562,0.08221488822016412,0.08745529585159079,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.916,0.0,0.010632107157023441,0.01834912792627908,0.934,0.936,0.935,0.933,0.916
1,1000.0,0.003527709971519142,0.013073693581772159,0.03797022077825004,JOAQUIN_DIAZ_MENA,0.936,0.056109244867993596,0.059539702942428774,0.06344525159220629,RENAN_BARRERA_CONCHA,0.931,0.055153613400880895,0.05861708597281365,0.06221704451799067,0.936,0.931,0.939,0.959,0.935
2,1500.0,0.003292364504573322,0.010537811470018279,0.02983216983657864,JOAQUIN_DIAZ_MENA,0.951,0.04603863197535153,0.04878042873643701,0.051691477655884305,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.938,0.004266631136825447,0.007014385048922697,0.009502280437345243,0.951,0.954,0.947,0.944,0.938
3,2000.0,0.0026174526646941406,0.01004637878796566,0.027016489013773803,JOAQUIN_DIAZ_MENA,0.942,0.0399267135033232,0.042465058028821306,0.04486293151693418,RENAN_BARRERA_CONCHA,0.939,0.03945856252303095,0.0419593630496127,0.04430177825497045,0.942,0.939,0.95,0.947,0.944
4,3000.0,0.002020636947810755,0.007785793610801778,0.02089336322216728,JOAQUIN_DIAZ_MENA,0.958,0.03286420550611715,0.03481928365548553,0.03685887762600954,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.935,0.003662301570619196,0.005045169336707563,0.006339285252456883,0.958,0.946,0.947,0.938,0.935
5,4000.0,0.0019162532900395166,0.006619313906866819,0.01886993620328932,JOAQUIN_DIAZ_MENA,0.938,0.028390016520230266,0.030106506255649756,0.031873887567337986,JOAQUIN_DIAZ_MENA,0.938,0.028390016520230266,0.030106506255649756,0.031873887567337986,0.938,0.949,0.939,0.942,0.939
6,5000.0,0.0015694133530367665,0.0058935038471018275,0.016129381594642552,JOAQUIN_DIAZ_MENA,0.955,0.02553434856438146,0.027028654329590174,0.02872005539467338,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.945,0.003198052279209226,0.003926489082651521,0.004775683423525861,0.955,0.949,0.953,0.946,0.945
