,Tamaño_muestra_votos,Error_maximo_q_025,Error_maximo_mediana,Error_maximo_q_975,Intervalo_M_grande_candidato_nom,Intervalo_M_grande_candidato_cob,Intervalo_M_grande_inter_q_025,Intervalo_M_grande_inter_mediana,Intervalo_M_grande_inter_q_975,Cobertura_m_candidato_nom,Cobertura_m_candidato,Cobertura_m_inter_q_025,Cobertura_m_inter_mediana,Cobertura_m_inter_q_975,Cob_JOAQUIN_DIAZ_MENA,Cob_RENAN_BARRERA_CONCHA,Cob_VIDA_ARAVARI_GOMEZ_HERRERA,Cob_VOTOS_NULOS_CAND_NO_REGIS,Cob_YAMIL_JASMIN_LOPEZ_MANRIQUE
0,500.0,0.005004717930561569,0.020205944496913153,0.05344869730788498,JOAQUIN_DIAZ_MENA,0.933,0.08186414884791827,0.08695961170322314,0.09170254571033065,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.922,0.0,0.011834284204488853,0.019180237230934094,0.933,0.943,0.94,0.941,0.922
1,1000.0,0.00342060476800415,0.013313253308629536,0.03766641399450303,JOAQUIN_DIAZ_MENA,0.953,0.05818585855747108,0.06165251368868804,0.06520515287924007,RENAN_BARRERA_CONCHA,0.94,0.05738885505293721,0.06081502773020914,0.0644588655230502,0.953,0.94,0.957,0.947,0.947
2,2000.0,0.0022505536810734517,0.009269861828971104,0.02616229905957707,JOAQUIN_DIAZ_MENA,0.951,0.041166925786920085,0.04359335344754728,0.046212660221037566,VOTOS_NULOS_CAND_NO_REGIS,0.946,0.01059374402543023,0.01264096907624228,0.014579119509447309,0.951,0.953,0.957,0.946,0.947
3,3000.0,0.0020996170121282535,0.007894473815281106,0.022172025412999393,JOAQUIN_DIAZ_MENA,0.948,0.03353463701693686,0.03563533933915203,0.037859193185892946,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.939,0.0037556889186654376,0.005054588592664192,0.006450579897383044,0.948,0.942,0.956,0.94,0.939
4,4000.0,0.0017116843507089476,0.007332939746796968,0.018623791629161387,JOAQUIN_DIAZ_MENA,0.953,0.02902139521640556,0.030900033806320948,0.03264545641405193,VIDA_ARAVARI_GOMEZ_HERRERA,0.932,0.010469670929928196,0.011602327302624827,0.012704251308969261,0.953,0.944,0.932,0.949,0.935
5,5000.0,0.0014371964918557176,0.006022243246326137,0.016186915702461533,JOAQUIN_DIAZ_MENA,0.963,0.02606951978613392,0.02763359035436741,0.02936070462383491,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.941,0.003118433101639688,0.003953216400660701,0.004761737234626534,0.963,0.959,0.944,0.946,0.941
6,10000.0,0.00104630378753877,0.004285075083674816,0.012039765731221763,JOAQUIN_DIAZ_MENA,0.944,0.01841799546568612,0.019567705773413935,0.020794176225294534,RENAN_BARRERA_CONCHA,0.942,0.01826386028389106,0.019304773419698107,0.020468554480281134,0.944,0.942,0.954,0.953,0.945
