,Tamaño_muestra_votos,Error_maximo_q_025,Error_maximo_mediana,Error_maximo_q_975,Intervalo_M_grande_candidato_nom,Intervalo_M_grande_candidato_cob,Intervalo_M_grande_inter_q_025,Intervalo_M_grande_inter_mediana,Intervalo_M_grande_inter_q_975,Cobertura_m_candidato_nom,Cobertura_m_candidato,Cobertura_m_inter_q_025,Cobertura_m_inter_mediana,Cobertura_m_inter_q_975,Cob_JOAQUIN_DIAZ_MENA,Cob_RENAN_BARRERA_CONCHA,Cob_VIDA_ARAVARI_GOMEZ_HERRERA,Cob_VOTOS_NULOS_CAND_NO_REGIS,Cob_YAMIL_JASMIN_LOPEZ_MANRIQUE
0,500.0,0.004770691458242226,0.019387226790360756,0.05530150528387899,JOAQUIN_DIAZ_MENA,0.946,0.08196905819036077,0.08686292111229363,0.09247187849499502,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.905,0.0,0.01113739807845528,0.01940374357823496,0.946,0.938,0.933,0.939,0.905
1,1000.0,0.003697477859731666,0.01296969903348355,0.038399553050896984,JOAQUIN_DIAZ_MENA,0.948,0.057956717139558585,0.06167414522112366,0.06520289126098393,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.936,0.0037518036533801804,0.008639597130401317,0.012345389416816342,0.948,0.947,0.957,0.954,0.936
2,1500.0,0.003101465077331714,0.01091317806494932,0.029643722445181375,JOAQUIN_DIAZ_MENA,0.953,0.04767955300166485,0.0505114334290358,0.05337842894149295,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.936,0.004282479299782474,0.00714927788221451,0.009711184681798003,0.953,0.946,0.949,0.948,0.936
3,2000.0,0.0027326054991065247,0.00967163026059581,0.026265205500583724,JOAQUIN_DIAZ_MENA,0.948,0.04100319488195273,0.043523689451197056,0.046089993841834015,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.938,0.004277057057192581,0.006227758189622279,0.008211073806091207,0.948,0.946,0.954,0.954,0.938
4,3000.0,0.0020690931659537418,0.008055394364683194,0.021674457478294173,JOAQUIN_DIAZ_MENA,0.948,0.0336001542003123,0.03568011014952738,0.037834134353047985,VIDA_ARAVARI_GOMEZ_HERRERA,0.933,0.01188848150129604,0.013336573105758809,0.014854400503976756,0.948,0.943,0.933,0.933,0.941
5,4000.0,0.0017205872904644422,0.006986056943957625,0.01983840652429118,JOAQUIN_DIAZ_MENA,0.945,0.02912920107129932,0.030881869062867495,0.032674982584000825,VOTOS_NULOS_CAND_NO_REGIS,0.933,0.007856461294634397,0.008948613161325896,0.010087791815424053,0.945,0.937,0.958,0.933,0.946
6,5000.0,0.0015524859543762483,0.006201676859163285,0.01656858422491989,JOAQUIN_DIAZ_MENA,0.955,0.02610504257791241,0.02763966236347215,0.02935081453130236,VIDA_ARAVARI_GOMEZ_HERRERA,0.938,0.009453410458789521,0.010395064195085445,0.011255324803254592,0.955,0.949,0.938,0.948,0.95
