,Tamaño_muestra_votos,Error_maximo_q_025,Error_maximo_mediana,Error_maximo_q_975,Intervalo_M_grande_candidato_nom,Intervalo_M_grande_candidato_cob,Intervalo_M_grande_inter_q_025,Intervalo_M_grande_inter_mediana,Intervalo_M_grande_inter_q_975,Cobertura_m_candidato_nom,Cobertura_m_candidato,Cobertura_m_inter_q_025,Cobertura_m_inter_mediana,Cobertura_m_inter_q_975,Cob_JOAQUIN_DIAZ_MENA,Cob_RENAN_BARRERA_CONCHA,Cob_VIDA_ARAVARI_GOMEZ_HERRERA,Cob_VOTOS_NULOS_CAND_NO_REGIS,Cob_YAMIL_JASMIN_LOPEZ_MANRIQUE
0,500.0,0.005324878682899173,0.018712542473293653,0.050709596010361284,JOAQUIN_DIAZ_MENA,0.948,0.08223598555682375,0.08698785885368662,0.09249762196738016,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.896,0.0,0.010926149599534588,0.01969419639010853,0.948,0.953,0.942,0.935,0.896
1,1000.0,0.0034126505181310534,0.013744761045927867,0.03880552768220699,JOAQUIN_DIAZ_MENA,0.942,0.058337358261665855,0.061663190988482,0.06523451853070512,JOAQUIN_DIAZ_MENA,0.942,0.058337358261665855,0.061663190988482,0.06523451853070512,0.942,0.947,0.951,0.949,0.944
2,2000.0,0.0025713297166591,0.009455390015811943,0.02609191875077374,JOAQUIN_DIAZ_MENA,0.956,0.041367181057465036,0.043646021972467586,0.04628147957220231,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.928,0.003896416960762513,0.006203008598457216,0.008176098725944788,0.956,0.955,0.933,0.937,0.928
3,4000.0,0.0017549830270934027,0.006690767756318661,0.018611021270904454,JOAQUIN_DIAZ_MENA,0.947,0.028922586602029884,0.03081029730689977,0.03263248570000819,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.929,0.0033152210703639184,0.0044306486300644855,0.005409762662395474,0.947,0.952,0.959,0.956,0.929
4,5000.0,0.0016175037150031296,0.006176154317649923,0.017469117207828132,JOAQUIN_DIAZ_MENA,0.945,0.026112148982487208,0.02760616374567479,0.02929604490661008,VIDA_ARAVARI_GOMEZ_HERRERA,0.939,0.009457675737482435,0.010381012417258615,0.011407233752657524,0.945,0.943,0.939,0.947,0.94
5,10000.0,0.0010532637459208568,0.004441755073204847,0.01266851119670335,JOAQUIN_DIAZ_MENA,0.947,0.01847039116046758,0.019585593584019845,0.02068348411472159,RENAN_BARRERA_CONCHA,0.937,0.018245906829943544,0.019369401340929376,0.02053844515129556,0.947,0.937,0.947,0.944,0.95
6,20000.0,0.0007764348813947864,0.003144789518727764,0.008309223853641167,JOAQUIN_DIAZ_MENA,0.958,0.013021268647837389,0.01385997618787782,0.014674172093866619,VIDA_ARAVARI_GOMEZ_HERRERA,0.942,0.004906878252935278,0.005239036125992545,0.005609100464672798,0.958,0.958,0.942,0.942,0.951
